wind_speed_ms,tilt_deg,wind_force_N,bending_stress_MPa,deflection_mm,safety_factor
5.000000000000000000e+00,0.000000000000000000e+00,1.176000000000000101e-01,2.156000000000000416e-01,1.680360708534621786e-02,1.113172541743970214e+03
5.000000000000000000e+00,1.500000000000000000e+01,6.087423940811288459e-01,1.116027722482069384e+00,8.698187080214520028e-02,2.150484214372694112e+02
5.000000000000000000e+00,3.000000000000000000e+01,1.175999999999999934e+00,2.156000000000000139e+00,1.680360708534621716e-01,1.113172541743970356e+02
5.000000000000000000e+00,4.500000000000000000e+01,1.663115149350759658e+00,3.049044440476393003e+00,2.376388903688525234e-01,7.871318528978265761e+01
5.000000000000000000e+00,6.000000000000000000e+01,2.036891749700999732e+00,3.734301541118499657e+00,2.910470122224401712e-01,6.426904666303811098e+01
5.000000000000000000e+00,7.500000000000000000e+01,2.271857543431888615e+00,4.165072162958463053e+00,3.246207611709977514e-01,5.762205085770406043e+01
5.000000000000000000e+00,9.000000000000000000e+01,2.351999999999999869e+00,4.312000000000000277e+00,3.360721417069243433e-01,5.565862708719851781e+01
1.000000000000000000e+01,0.000000000000000000e+00,4.704000000000000403e-01,8.624000000000001664e-01,6.721442834138487143e-02,2.782931354359925535e+02
1.000000000000000000e+01,1.500000000000000000e+01,2.434969576324515383e+00,4.464110889928277537e+00,3.479274832085808011e-01,5.376210535931735279e+01
1.000000000000000000e+01,3.000000000000000000e+01,4.703999999999999737e+00,8.624000000000000554e+00,6.721442834138486866e-01,2.782931354359925891e+01
1.000000000000000000e+01,4.500000000000000000e+01,6.652460597403038634e+00,1.219617776190557201e+01,9.505555614754100935e-01,1.967829632244566440e+01
1.000000000000000000e+01,6.000000000000000000e+01,8.147566998803998928e+00,1.493720616447399863e+01,1.164188048889760685e+00,1.606726166575952774e+01
1.000000000000000000e+01,7.500000000000000000e+01,9.087430173727554461e+00,1.666028865183385221e+01,1.298483044683991006e+00,1.440551271442601511e+01
1.000000000000000000e+01,9.000000000000000000e+01,9.407999999999999474e+00,1.724800000000000111e+01,1.344288566827697373e+00,1.391465677179962945e+01
1.500000000000000000e+01,0.000000000000000000e+00,1.058400000000000007e+00,1.940400000000000125e+00,1.512324637681159156e-01,1.236858379715522460e+02
1.500000000000000000e+01,1.500000000000000000e+01,5.478681546730158836e+00,1.004424950233862290e+01,7.828368372193066360e-01,2.389426904858549250e+01
1.500000000000000000e+01,3.000000000000000000e+01,1.058399999999999785e+01,1.940399999999999636e+01,1.512324637681159212e+00,1.236858379715522815e+01
1.500000000000000000e+01,4.500000000000000000e+01,1.496803634415683604e+01,2.744139996428753392e+01,2.138750013319672405e+00,8.745909476642518499e+00
1.500000000000000000e+01,6.000000000000000000e+01,1.833202574730899670e+01,3.360871387006649513e+01,2.619423110001961597e+00,7.141005184782013515e+00
1.500000000000000000e+01,7.500000000000000000e+01,2.044671789088699754e+01,3.748564946662616393e+01,2.921586850538979263e+00,6.402450095300451061e+00
1.500000000000000000e+01,9.000000000000000000e+01,2.116799999999999926e+01,3.880799999999999983e+01,3.024649275362318868e+00,6.184291898577613189e+00
2.000000000000000000e+01,0.000000000000000000e+00,1.881600000000000161e+00,3.449600000000000666e+00,2.688577133655394857e-01,6.957328385899813838e+01
2.000000000000000000e+01,1.500000000000000000e+01,9.739878305298061534e+00,1.785644355971311015e+01,1.391709932834323205e+00,1.344052633982933820e+01
2.000000000000000000e+01,3.000000000000000000e+01,1.881599999999999895e+01,3.449600000000000222e+01,2.688577133655394746e+00,6.957328385899814727e+00
2.000000000000000000e+01,4.500000000000000000e+01,2.660984238961215453e+01,4.878471104762228805e+01,3.802222245901640374e+00,4.919574080611416100e+00
2.000000000000000000e+01,6.000000000000000000e+01,3.259026799521599571e+01,5.974882465789599451e+01,4.656752195559042740e+00,4.016815416439881936e+00
2.000000000000000000e+01,7.500000000000000000e+01,3.634972069491021784e+01,6.664115460733540885e+01,5.193932178735964023e+00,3.601378178606503777e+00
2.000000000000000000e+01,9.000000000000000000e+01,3.763199999999999790e+01,6.899200000000000443e+01,5.377154267310789493e+00,3.478664192949907363e+00
